Job_Title,Company_Employer,Location,Salary_Estimate,Skills_Required,Work_Mode
Financial Analyst,Commerce Bank,"Kansas City, MO",76612,"Python, PowerBI, AWS, Excel",Hybrid
Python Developer,Federal Reserve Bank of KC,"Kansas City, MO",61846,"SQL, Tableau, AWS, Python",On-site
Software Engineer,Commerce Bank,"Topeka, KS",104224,"PowerBI, Excel, Python",Remote
Software Engineer,Federal Reserve Bank of KC,"Kansas City, MO",127968,"Python, SQL, AWS",Hybrid
Software Engineer,Garmin,"Kansas City, KS",102226,"Tableau, AWS, PowerBI",Hybrid
Data Analyst,H&R Block,"Olathe, KS",62253,"SQL, PowerBI, Python, AWS",On-site
Data Analyst,Commerce Bank,"Olathe, KS",63736,"PowerBI, Python, Tableau",Remote
Data Scientist,Garmin,"Olathe, KS",133477,"AWS, Excel, Tableau",Hybrid
Software Engineer,H&R Block,"Kansas City, MO",126696,"SQL, Tableau",Remote
Software Engineer,H&R Block,"Overland Park, KS",130682,"Python, Tableau",On-site
Business Analyst,T-Mobile,"Olathe, KS",65090,"AWS, Excel",Remote
Data Analyst,T-Mobile,"Kansas City, KS",64548,"SQL, Python",On-site
Financial Analyst,Garmin,"Olathe, KS",83096,"Python, SQL, PowerBI",Remote
Data Analyst,H&R Block,"Kansas City, KS",62966,"AWS, Tableau",On-site
Data Scientist,Commerce Bank,"Overland Park, KS",115407,"SQL, Excel, PowerBI, Python",On-site
Data Analyst,Federal Reserve Bank of KC,"Topeka, KS",93869,"Python, AWS",On-site
Python Developer,Garmin,"Overland Park, KS",92368,"PowerBI, Python, Excel, SQL",Hybrid
Financial Analyst,Federal Reserve Bank of KC,"Kansas City, KS",74913,"Tableau, Python, Excel, AWS",Remote
Data Scientist,H&R Block,"Topeka, KS",86797,"Python, Tableau",Remote
Python Developer,Garmin,"Overland Park, KS",66978,"PowerBI, Tableau, Python, AWS",Hybrid
Data Analyst,H&R Block,"Kansas City, MO",85539,"PowerBI, AWS, SQL, Excel",On-site
Software Engineer,Cerner Corporation,"Olathe, KS",117538,"Tableau, AWS",On-site
Python Developer,T-Mobile,"Topeka, KS",87880,"SQL, Excel, Tableau, Python",On-site
Software Engineer,T-Mobile,"Kansas City, KS",113361,"PowerBI, SQL, Tableau",Remote
Software Engineer,Federal Reserve Bank of KC,"Overland Park, KS",88089,"PowerBI, AWS",On-site
Python Developer,T-Mobile,"Olathe, KS",83948,"SQL, PowerBI, AWS",On-site
Financial Analyst,Garmin,"Olathe, KS",76238,"PowerBI, Python",Remote
Python Developer,H&R Block,"Kansas City, MO",68838,"PowerBI, Tableau, Python, AWS",On-site
