Job_Title,Location,Salary_Estimate,Skills_Required,Work_Mode
Python Developer,"Olathe, KS",89067,"Finance, Java",Remote
Financial Analyst,"Kansas City, MO",91277,"R, Python",On-site
Software Engineer,"Olathe, KS",102583,"PowerBI, Finance",Remote
Software Engineer,"Olathe, KS",88273,"SQL, Excel",Remote
Financial Analyst,"Kansas City, MO",62180,"Python, Finance, Java, SQL",Hybrid
Data Analyst,"Overland Park, KS",79937,"Tableau, R, Java",Hybrid
Business Analyst,"Overland Park, KS",67688,"AWS, SQL",On-site
Software Engineer,"Kansas City, KS",113759,"SQL, Excel, Tableau",Hybrid
Financial Analyst,"Kansas City, MO",90844,"Python, PowerBI, Finance",On-site
Python Developer,"Kansas City, MO",77388,"Agile, Java, SQL, AWS",Hybrid
Financial Analyst,"Overland Park, KS",72492,"Tableau, AWS",On-site
Financial Analyst,"Kansas City, MO",67275,"Python, Tableau, PowerBI",Hybrid
Data Analyst,"Overland Park, KS",79823,"Python, AWS, Agile",Hybrid
Python Developer,"Olathe, KS",83147,"AWS, Finance, Agile",On-site
Financial Analyst,"Overland Park, KS",69941,"Tableau, PowerBI",Hybrid
Data Scientist,"Olathe, KS",86854,"Agile, Excel",Remote
Data Scientist,"Topeka, KS",105398,"SQL, Agile, AWS",Hybrid
Python Developer,"Kansas City, KS",67246,"Agile, AWS, PowerBI",Remote
Software Engineer,"Topeka, KS",91379,"Excel, Agile",On-site
Python Developer,"Kansas City, MO",69958,"AWS, Tableau",Hybrid
Software Engineer,"Kansas City, KS",133422,"AWS, Agile",On-site
Python Developer,"Olathe, KS",88692,"Java, Python, Agile, PowerBI",On-site
Data Analyst,"Olathe, KS",65066,"R, Tableau, Agile, Excel",Remote
Data Scientist,"Olathe, KS",96928,"Agile, R",Hybrid
Python Developer,"Overland Park, KS",92131,"Agile, Finance, Python",Remote
Data Scientist,"Kansas City, MO",115197,"Python, R, AWS, Java",Remote
Software Engineer,"Overland Park, KS",90176,"Java, PowerBI, Tableau",On-site
Software Engineer,"Kansas City, MO",114585,"Python, R",Remote
Financial Analyst,"Olathe, KS",90294,"AWS, SQL, Java, Tableau",Hybrid
Financial Analyst,"Kansas City, MO",86396,"Tableau, Java, Agile",Remote
Business Analyst,"Topeka, KS",69201,"AWS, PowerBI, Finance, R",On-site
Data Analyst,"Olathe, KS",88621,"Excel, AWS, Python, Java",Remote
Financial Analyst,"Topeka, KS",69689,"Excel, R, SQL",Hybrid
Business Analyst,"Olathe, KS",62281,"Java, Agile, Finance",Hybrid
Data Scientist,"Kansas City, MO",93768,"PowerBI, SQL, Finance",Hybrid
Software Engineer,"Overland Park, KS",96657,"R, Python, Excel, Java",Hybrid
Data Scientist,"Kansas City, MO",113899,"SQL, PowerBI, Java",Remote
Data Analyst,"Topeka, KS",61337,"Finance, Tableau",On-site
Python Developer,"Topeka, KS",75914,"Finance, Python, R, Tableau",Remote
Financial Analyst,"Olathe, KS",65005,"SQL, R, Excel, Finance",Hybrid
Data Scientist,"Olathe, KS",94202,"SQL, AWS, Agile",Hybrid
Data Scientist,"Kansas City, KS",102816,"Java, SQL",On-site
Python Developer,"Overland Park, KS",69706,"PowerBI, Python, Tableau, Java",Hybrid
Financial Analyst,"Topeka, KS",82670,"Python, PowerBI, AWS, Agile",Remote
Data Scientist,"Overland Park, KS",107173,"Java, PowerBI, AWS, SQL",Hybrid
Software Engineer,"Topeka, KS",110577,"Python, R",On-site
Business Analyst,"Overland Park, KS",85402,"Tableau, Java",Hybrid
Financial Analyst,"Olathe, KS",82466,"Tableau, SQL, Java",Remote
Python Developer,"Olathe, KS",91392,"Excel, SQL, R",Remote
Python Developer,"Kansas City, KS",77804,"R, PowerBI, Tableau",Remote
Data Analyst,"Overland Park, KS",83810,"PowerBI, Excel, Tableau, SQL",Remote
Software Engineer,"Olathe, KS",97454,"Agile, AWS",Hybrid
Data Scientist,"Kansas City, KS",104370,"Finance, Excel, Java",Hybrid
Financial Analyst,"Topeka, KS",92375,"PowerBI, Java, Tableau, Agile",Remote
Data Scientist,"Topeka, KS",131278,"Python, AWS, Java, Tableau",Hybrid
Business Analyst,"Olathe, KS",77062,"Tableau, SQL, R, PowerBI",Hybrid
